t,u,y
0.00000000,1.74644184,617.14288330
0.02000000,1.74644184,610.71435547
0.04000000,1.74644184,623.57147217
0.06000000,1.74644184,630.00006104
0.08000000,1.74644184,630.00006104
0.10000000,1.74644184,636.42858887
0.12000000,1.74644184,642.85717773
0.14000000,1.74644184,636.42858887
0.16000000,1.74644184,642.85717773
0.18000000,1.74644184,649.28576660
0.20000000,1.74644184,642.85717773
0.22000000,1.74644184,649.28576660
0.24000000,1.74644184,649.28576660
0.26000000,1.74644184,649.28576660
0.28000000,1.74644184,649.28576660
0.30000000,1.74644184,649.28576660
0.32000000,1.74644184,649.28576660
0.34000000,1.74644184,649.28576660
0.36000000,1.74644184,655.71435547
0.38000000,1.74644184,649.28576660
0.40000000,1.74644184,649.28576660
0.42000000,1.74644184,655.71435547
0.44000000,1.74644184,655.71435547
0.46000000,1.74644184,649.28576660
0.48000000,1.74644184,649.28576660
0.50000000,1.74644184,649.28576660
0.52000000,1.74644184,649.28576660
0.54000000,1.74644184,649.28576660
0.56000000,1.74644184,649.28576660
0.58000000,1.74644184,649.28576660
0.60000000,1.74644184,649.28576660
0.62000000,1.74644184,655.71435547
0.64000000,1.74644184,649.28576660
0.66000000,1.74644184,649.28576660
0.68000000,1.74644184,649.28576660
0.70000000,1.74644184,649.28576660
0.72000000,1.74644184,649.28576660
0.74000000,1.74644184,649.28576660
0.76000000,1.74644184,649.28576660
0.78000000,1.74644184,649.28576660
0.80000000,1.08388567,649.28576660
0.82000000,1.08388567,642.85717773
0.84000000,1.08388567,630.00006104
0.86000000,1.08388567,623.57147217
0.88000000,1.08388567,617.14288330
0.90000000,1.08388567,604.28576660
0.92000000,1.08388567,604.28576660
0.94000000,1.08388567,591.42864990
0.96000000,1.08388567,591.42864990
0.98000000,1.08388567,585.00006104
1.00000000,1.08388567,578.57147217
1.02000000,1.08388567,578.57147217
1.04000000,1.74644184,572.14288330
1.06000000,1.74644184,578.57147217
1.08000000,1.74644184,591.42864990
1.10000000,1.74644184,597.85717773
1.12000000,1.74644184,617.14288330
1.14000000,1.74644184,617.14288330
1.16000000,1.74644184,623.57147217
1.18000000,1.74644184,630.00006104
1.20000000,1.74644184,636.42858887
1.22000000,1.74644184,636.42858887
1.24000000,1.74644184,636.42858887
1.26000000,1.74644184,642.85717773
1.28000000,1.08388567,642.85717773
1.30000000,1.08388567,636.42858887
1.32000000,1.08388567,630.00006104
1.34000000,1.08388567,623.57147217
1.36000000,1.08388567,610.71435547
1.38000000,1.08388567,597.85717773
1.40000000,1.08388567,597.85717773
1.42000000,1.08388567,591.42864990
1.44000000,1.08388567,585.00006104
1.46000000,1.08388567,578.57147217
1.48000000,1.08388567,578.57147217
1.50000000,1.08388567,578.57147217
1.52000000,1.74644184,565.71429443
1.54000000,1.74644184,578.57147217
1.56000000,1.74644184,585.00006104
1.58000000,1.74644184,597.85717773
1.60000000,1.08388567,610.71435547
1.62000000,1.08388567,610.71435547
1.64000000,1.08388567,604.28576660
1.66000000,1.08388567,591.42864990
1.68000000,1.08388567,591.42864990
1.70000000,1.08388567,585.00006104
1.72000000,1.08388567,578.57147217
1.74000000,1.08388567,578.57147217
