t,r,y,u
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,14.39999962,0.00000000,0.61413276
0.04000000,28.79999924,0.38571429,1.21757555
0.06000000,43.20000076,2.05714297,1.77179086
0.08000000,57.59999847,5.40000010,2.25981402
0.10000000,72.00000000,11.05714321,2.65356040
0.12000000,86.40000153,18.77142906,2.96307063
0.14000000,100.80000305,28.41428757,3.19300532
0.16000000,115.19999695,39.47143173,3.36452579
0.18000000,129.60000610,51.81428909,3.48255110
0.20000000,144.00000000,64.92857361,3.48255110
0.22000000,158.39999390,78.68572235,3.62754297
0.24000000,172.80000305,92.70000458,3.67587924
0.26000000,187.19999695,107.10000610,3.70791888
0.28000000,201.60000610,121.75714874,3.72899270
0.30000000,216.00001526,136.54286194,3.72899270
0.32000000,230.39999390,151.20001221,3.76529527
0.34000000,244.80000305,166.11428833,3.77504277
0.36000000,259.20001221,180.90000916,3.79006720
0.38000000,273.60000610,195.81430054,3.79945326
0.40000000,288.00000000,210.72857666,3.79945326
0.42000000,302.39999390,225.51429749,3.82309246
0.44000000,316.79998779,240.42858887,3.83191299
0.46000000,331.20001221,255.34286499,3.84052968
0.48000000,345.60000610,270.25717163,3.84893799
0.50000000,360.00000000,285.17144775,3.85714197
0.52000000,374.39999390,299.95715332,3.87062359
0.54000000,388.80001831,314.87145996,3.87062359
0.56000000,403.20001221,329.65716553,3.89158916
0.58000000,417.59997559,344.57144165,3.89907169
0.60000000,432.00003052,359.35717773,3.91183472
0.62000000,446.39999390,374.27145386,3.91183472
0.64000000,460.79998779,389.05715942,3.93135881
0.66000000,475.20001221,403.97146606,3.93812275
0.68000000,489.60000610,418.88574219,3.94468117
0.70000000,504.00000000,433.80001831,3.95103359
0.72000000,518.40002441,448.84289551,3.95169711
0.74000000,532.79998779,463.62860107,3.96306872
0.76000000,547.20001221,478.54287720,3.96306872
0.78000000,561.59997559,493.45718384,3.97433257
0.80000000,576.00000000,508.37145996,3.97433257
0.82000000,590.40002441,523.28576660,3.97965789
0.84000000,604.79998779,538.20001221,3.98968863
0.86000000,619.20001221,553.11431885,3.99439549
0.88000000,633.59997559,568.15716553,3.99341202
0.90000000,648.00000000,583.07147217,3.99765587
0.92000000,662.40002441,598.11431885,3.99765587
0.94000000,676.79998779,613.02862549,3.99999070
0.96000000,691.20001221,628.07147217,3.99808407
0.98000000,705.60003662,643.11431885,3.99592018
1.00000000,720.00000000,658.02862549,3.99897885
1.02000000,720.00000000,673.07147217,3.38221836
1.04000000,720.00000000,687.98577881,2.76492262
1.06000000,720.00000000,702.77148438,2.76492262
1.08000000,720.00000000,717.55718994,1.52345502
1.10000000,720.00000000,731.95721436,0.91029829
1.12000000,720.00000000,746.22863770,0.29686615
1.14000000,720.00000000,759.98577881,-0.30034143
1.16000000,720.00000000,772.71435547,-0.85918546
1.18000000,720.00000000,783.12860107,-0.85918546
1.20000000,720.00000000,789.81433105,-1.63480425
1.22000000,720.00000000,792.38574219,-1.63480425
1.24000000,720.00000000,791.74291992,-1.77393496
1.26000000,720.00000000,788.65716553,-1.67103052
1.28000000,720.00000000,783.51434326,-1.47916162
1.30000000,720.00000000,776.70007324,-1.21395171
1.32000000,720.00000000,768.72863770,-1.21395171
1.34000000,720.00000000,760.24291992,-0.89666504
1.36000000,720.00000000,751.50006104,-0.19748744
1.38000000,720.00000000,742.75720215,0.16277891
1.40000000,720.00000000,734.65716553,0.49912736
1.42000000,720.00000000,728.22863770,0.76742905
1.44000000,720.00000000,723.85717773,0.76742905
1.46000000,720.00000000,722.18572998,1.02031326
1.48000000,720.00000000,722.82861328,0.99202120
1.50000000,720.00000000,725.01434326,0.89767253
1.52000000,720.00000000,728.35717773,0.75310129
1.54000000,720.00000000,732.72863770,0.75310129
1.56000000,720.00000000,737.61431885,0.34986740
1.58000000,720.00000000,742.75720215,0.12348741
1.60000000,720.00000000,748.02862549,-0.11043166
1.62000000,720.00000000,752.78576660,-0.32452613
1.64000000,720.00000000,756.38574219,-0.49117261
1.66000000,720.00000000,758.44287109,-0.59345955
1.68000000,720.00000000,758.57147217,-0.61432129
1.70000000,720.00000000,757.67144775,-0.61432129
1.72000000,720.00000000,756.00006104,-0.53515255
