t,r,y,u
0.00000000,90.00000000,0.00000000,0.00000000
0.02000000,90.00000000,1.67142868,5.00000000
0.04000000,90.00000000,9.00000095,4.92573023
0.06000000,90.00000000,19.54285812,1.33565140
0.08000000,90.00000000,29.05714417,-1.39704227
0.10000000,90.00000000,34.58571625,-1.23573017
0.12000000,90.00000000,38.31428909,1.51467705
0.14000000,90.00000000,43.97143173,3.14536119
0.16000000,90.00000000,52.07143021,1.88998365
0.18000000,90.00000000,60.55714798,-0.31387138
0.20000000,90.00000000,67.11428833,-1.36728525
0.22000000,90.00000000,70.58571625,-0.64617634
0.24000000,90.00000000,73.15715027,1.30179834
0.26000000,90.00000000,77.40000153,1.94428575
0.28000000,90.00000000,83.05714417,0.51417708
0.30000000,90.00000000,87.68572235,-1.13342309
0.32000000,90.00000000,89.35714722,-1.09604764
0.34000000,90.00000000,89.61428833,0.68730175
0.36000000,90.00000000,90.77143097,1.72513390
0.38000000,90.00000000,93.85714722,1.03728521
0.40000000,90.00000000,97.07143402,-0.73431170
0.42000000,90.00000000,98.10000610,-1.43257713
0.44000000,90.00000000,97.32857513,-0.25397420
0.46000000,90.00000000,97.45714569,1.02416408
0.48000000,90.00000000,98.87143707,0.38833272
0.50000000,90.00000000,99.51428986,-0.81085467
0.52000000,90.00000000,98.74285889,-0.58347535
0.54000000,90.00000000,98.10000610,0.35431617
0.56000000,90.00000000,97.97143555,0.29919606
0.58000000,90.00000000,97.84286499,-0.14168823
0.60000000,90.00000000,97.84286499,-0.26207373
0.62000000,90.00000000,97.71429443,-0.46328324
0.64000000,90.00000000,97.71429443,-0.48002121
0.66000000,90.00000000,97.58571625,-0.67262566
0.68000000,90.00000000,97.32857513,-0.68703127
0.70000000,90.00000000,96.30000305,-0.67022055
0.72000000,90.00000000,95.14286041,-0.11135155
0.74000000,90.00000000,94.62857819,0.08479649
0.76000000,90.00000000,94.11428833,-0.33203688
0.78000000,90.00000000,93.98571777,-0.35204196
0.80000000,90.00000000,93.98571777,-0.65007639
0.82000000,90.00000000,93.85714722,-0.81030065
0.84000000,90.00000000,93.08571625,-0.77160972
0.86000000,90.00000000,91.67143250,-0.28529835
0.88000000,90.00000000,90.64286041,0.32961279
0.90000000,90.00000000,90.64286041,0.23080432
0.92000000,90.00000000,90.64286041,-0.47296786
0.94000000,90.00000000,90.51428986,-0.52824819
0.96000000,90.00000000,90.38571930,-0.43693268
0.98000000,90.00000000,90.38571930,-0.42023179
1.00000000,90.00000000,90.38571930,-0.51045716
1.02000000,90.00000000,90.38571930,-0.52168983
1.04000000,90.00000000,90.38571930,-0.52770400
1.06000000,90.00000000,90.38571930,-0.53337342
1.08000000,90.00000000,90.38571930,-0.53902006
1.10000000,90.00000000,90.38571930,-0.54466522
1.12000000,90.00000000,90.38571930,-0.55031025
1.14000000,90.00000000,90.38571930,-0.55595529
1.16000000,90.00000000,90.38571930,-0.56160033
1.18000000,90.00000000,90.38571930,-0.56724536
1.20000000,90.00000000,90.38571930,-0.57289040
1.22000000,90.00000000,90.38571930,-0.57853544
1.24000000,90.00000000,90.38571930,-0.58418047
1.26000000,90.00000000,90.38571930,-0.58982551
1.28000000,90.00000000,90.38571930,-0.59547055
1.30000000,90.00000000,90.38571930,-0.60111558
1.32000000,90.00000000,90.38571930,-0.60676062
1.34000000,90.00000000,90.38571930,-0.61240566
1.36000000,90.00000000,90.38571930,-0.61805069
1.38000000,90.00000000,90.38571930,-0.62369573
1.40000000,90.00000000,90.38571930,-0.62934077
1.42000000,90.00000000,90.38571930,-0.63498580
1.44000000,90.00000000,90.38571930,-0.64063084
1.46000000,90.00000000,90.38571930,-0.64627588
1.48000000,90.00000000,90.38571930,-0.65192091
1.50000000,180.00000000,90.38571930,-0.65756595
1.52000000,180.00000000,91.92857361,5.00000000
1.54000000,180.00000000,99.12857819,5.00000000
1.56000000,180.00000000,109.67143250,1.43027258
1.58000000,180.00000000,119.31429291,-1.38886595
1.60000000,180.00000000,124.71429443,-1.33878136
1.62000000,180.00000000,128.18571472,1.59057665
1.64000000,180.00000000,133.71429443,3.35278702
1.66000000,180.00000000,141.81430054,2.03948331
1.68000000,180.00000000,150.68572998,-0.25074148
1.70000000,180.00000000,157.37144470,-1.61760521
1.72000000,180.00000000,160.32858276,-0.76454926
1.74000000,180.00000000,162.51429749,1.68971062
1.76000000,180.00000000,166.75715637,2.33619785
1.78000000,180.00000000,172.92857361,0.65695858
1.80000000,180.00000000,178.20001221,-1.41331959
1.82000000,180.00000000,179.74287415,-1.57666707
1.84000000,180.00000000,179.48571777,0.72042871
1.86000000,180.00000000,180.51429749,2.11590719
1.88000000,180.00000000,183.72857666,1.21295452
1.90000000,180.00000000,187.32858276,-0.75913858
1.92000000,180.00000000,188.35714722,-1.69411063
1.94000000,180.00000000,186.94287109,-0.27647948
1.96000000,180.00000000,186.55715942,1.53269577
1.98000000,180.00000000,188.35714722,0.92195845
2.00000000,180.00000000,190.15715027,-0.91874754
2.02000000,180.00000000,189.77143860,-1.40236223
2.04000000,180.00000000,187.97143555,-0.05707887
2.06000000,180.00000000,187.45715332,1.09263921
2.08000000,180.00000000,188.35714722,0.26985228
2.10000000,180.00000000,188.74287415,-0.95693868
2.12000000,180.00000000,188.35714722,-0.86109370
2.14000000,180.00000000,187.07144165,-0.40480763
2.16000000,180.00000000,186.04286194,0.29047120
2.18000000,180.00000000,186.04286194,0.20923024
2.20000000,180.00000000,185.91429138,-0.56719595
2.22000000,180.00000000,185.14286804,-0.59733117
2.24000000,180.00000000,184.11430359,-0.14369088
2.26000000,180.00000000,183.85714722,0.12967938
2.28000000,180.00000000,183.72857666,-0.38942832
2.30000000,180.00000000,183.08572388,-0.54481220
2.32000000,180.00000000,182.31430054,-0.17332539
2.34000000,180.00000000,181.80000305,0.00128329
2.36000000,180.00000000,181.67143250,-0.12012386
2.38000000,180.00000000,181.67143250,-0.39322942
2.40000000,180.00000000,181.54286194,-0.52017397
2.42000000,180.00000000,181.54286194,-0.44765154
2.44000000,180.00000000,181.54286194,-0.55000550
2.46000000,180.00000000,181.54286194,-0.57785577
2.48000000,180.00000000,181.54286194,-0.60078406
2.50000000,180.00000000,181.54286194,-0.62338722
2.52000000,180.00000000,181.54286194,-0.64596885
2.54000000,180.00000000,181.54286194,-0.66854912
2.56000000,180.00000000,181.54286194,-0.69112927
2.58000000,180.00000000,181.54286194,-0.71370941
2.60000000,180.00000000,181.54286194,-0.73628956
2.62000000,180.00000000,181.02857971,-0.75886971
2.64000000,180.00000000,179.87144470,-0.36643204
2.66000000,180.00000000,179.10000610,0.23499829
2.68000000,180.00000000,179.35714722,0.12451798
2.70000000,180.00000000,179.35714722,-0.59433776
2.72000000,180.00000000,179.10000610,-0.46092761
2.74000000,180.00000000,179.22857666,-0.23581825
2.76000000,180.00000000,179.10000610,-0.48451293
2.78000000,180.00000000,179.22857666,-0.30058721
2.80000000,180.00000000,179.22857666,-0.46594602
2.82000000,180.00000000,179.22857666,-0.38026938
2.84000000,180.00000000,179.22857666,-0.36406508
2.86000000,180.00000000,179.22857666,-0.35245037
2.88000000,180.00000000,179.22857666,-0.34113884
2.90000000,180.00000000,179.22857666,-0.32984734
2.92000000,180.00000000,179.22857666,-0.31855717
2.94000000,180.00000000,179.22857666,-0.30726710
2.96000000,180.00000000,179.22857666,-0.29597703
2.98000000,180.00000000,179.22857666,-0.28468695
