u,y
-5.00000000,-755.10006470
-4.31183529,-739.67148193
-3.71838498,-725.01435303
-3.20661283,-714.72861816
-2.76527739,-698.78573730
-2.38468409,-682.32865234
-2.05647302,-661.62860352
-1.77343476,-639.25716797
-1.52935171,-615.85717773
-1.31886256,-584.61434570
-1.13734365,-550.41431396
-0.98080772,-509.52861084
-0.84581631,-465.30001099
-0.72940415,-411.94287598
-0.62901413,-360.00003052
-0.54244107,-287.10001587
-0.46778333,-240.04287750
-0.40340096,-120.34286545
-0.34787971,-21.34285831
-0.30000001,0.00000000
0.30000001,0.00000000
0.34787971,24.04285866
0.40340096,142.07143372
0.46778333,232.07143341
0.54244107,306.00001831
0.62901413,367.97145081
0.72940415,427.88575928
0.84581631,479.57145996
0.98080772,521.48578613
1.13734365,562.88574219
1.31886256,599.40003906
1.52935171,624.98576172
1.77343476,654.55720947
2.05647302,676.92863770
2.38468409,693.90005493
2.76527739,712.02861084
3.20661283,728.87149048
3.71838498,742.37148926
4.31183529,754.71435547
5.00000000,764.35720215
