t,r,y,u
0.00000000,100.00000000,0.00000000,0.00000000
0.02000000,100.00000000,0.90000004,5.00000000
0.04000000,100.00000000,7.32857180,5.00000000
0.06000000,100.00000000,16.97142982,1.81097698
0.08000000,100.00000000,25.20000076,-0.61135054
0.10000000,100.00000000,32.65714645,0.17745066
0.12000000,100.00000000,39.98571777,0.74181604
0.14000000,100.00000000,47.44285965,0.77684307
0.16000000,100.00000000,54.77143097,0.48691797
0.18000000,100.00000000,61.84286118,0.26340818
0.20000000,100.00000000,68.40000153,0.06556845
0.22000000,100.00000000,74.31429291,0.01567984
0.24000000,100.00000000,79.84286499,0.06047726
0.26000000,100.00000000,84.72857666,-0.08831906
0.28000000,100.00000000,88.97143555,-0.06486893
0.30000000,100.00000000,92.70000458,-0.00833559
0.32000000,100.00000000,96.04286194,-0.02286816
0.34000000,100.00000000,98.61428833,-0.12602735
0.36000000,100.00000000,100.67143250,0.08362997
0.38000000,100.00000000,102.47143555,0.17747903
0.40000000,100.00000000,103.75714874,0.09884238
0.42000000,100.00000000,104.78572083,0.22711831
0.44000000,100.00000000,105.55715179,0.21476716
0.46000000,100.00000000,106.20000458,0.21446282
0.48000000,100.00000000,106.20000458,0.13605756
0.50000000,100.00000000,106.07143402,0.47641641
0.52000000,100.00000000,106.20000458,0.51791179
0.54000000,100.00000000,106.20000458,0.24785507
0.56000000,100.00000000,106.07143402,0.23132655
0.58000000,100.00000000,106.07143402,0.24924479
0.60000000,100.00000000,106.07143402,0.08138498
0.62000000,100.00000000,106.07143402,-0.01269137
0.64000000,100.00000000,106.07143402,-0.10189334
0.66000000,100.00000000,106.07143402,-0.19077329
0.68000000,100.00000000,105.81429291,-0.27963194
0.70000000,100.00000000,105.68572235,-0.16098033
0.72000000,100.00000000,105.55715179,-0.30097288
0.74000000,100.00000000,105.55715179,-0.37023845
0.76000000,100.00000000,105.55715179,-0.53682828
0.78000000,100.00000000,105.42857361,-0.62379110
0.80000000,100.00000000,105.55715179,-0.60173285
0.82000000,100.00000000,105.30000305,-0.86429799
0.84000000,100.00000000,104.52857971,-0.66402447
0.86000000,100.00000000,103.62857819,-0.27282804
0.88000000,100.00000000,102.98571777,-0.09893495
0.90000000,100.00000000,103.11428833,-0.22066668
0.92000000,100.00000000,102.98571777,-0.80356115
0.94000000,100.00000000,102.34286499,-0.69482541
0.96000000,100.00000000,101.44286346,-0.29573640
0.98000000,100.00000000,100.80000305,-0.00539023
