t,u,y
0.00000000,0.60248971,360.00003052
0.02000000,0.60248971,366.42858887
0.04000000,0.60248971,360.00003052
0.06000000,0.60248971,360.00003052
0.08000000,0.60248971,353.57144165
0.10000000,0.60248971,360.00003052
0.12000000,0.60248971,360.00003052
0.14000000,0.60248971,360.00003052
0.16000000,0.60248971,353.57144165
0.18000000,0.60248971,360.00003052
0.20000000,0.60248971,360.00003052
0.22000000,0.60248971,360.00003052
0.24000000,0.60248971,360.00003052
0.26000000,0.60248971,360.00003052
0.28000000,0.60248971,360.00003052
0.30000000,0.60248971,360.00003052
0.32000000,0.60248971,366.42858887
0.34000000,0.60248971,360.00003052
0.36000000,0.60248971,360.00003052
0.38000000,0.60248971,360.00003052
0.40000000,0.60248971,360.00003052
0.42000000,0.60248971,360.00003052
0.44000000,0.60248971,360.00003052
0.46000000,0.60248971,360.00003052
0.48000000,0.60248971,360.00003052
0.50000000,0.60248971,360.00003052
0.52000000,0.60248971,353.57144165
0.54000000,0.60248971,360.00003052
0.56000000,0.60248971,360.00003052
0.58000000,0.60248971,360.00003052
0.60000000,0.60248971,360.00003052
0.62000000,0.60248971,360.00003052
0.64000000,0.60248971,366.42858887
0.66000000,0.60248971,360.00003052
0.68000000,0.60248971,360.00003052
0.70000000,0.60248971,360.00003052
0.72000000,0.60248971,360.00003052
0.74000000,0.60248971,360.00003052
0.76000000,0.60248971,360.00003052
0.78000000,0.60248971,360.00003052
0.80000000,0.60248971,360.00003052
0.82000000,0.60248971,360.00003052
0.84000000,0.60248971,353.57144165
0.86000000,0.60248971,360.00003052
0.88000000,0.60248971,360.00003052
0.90000000,0.60248971,360.00003052
0.92000000,0.60248971,360.00003052
0.94000000,0.60248971,360.00003052
0.96000000,0.60248971,360.00003052
0.98000000,0.60248971,366.42858887
1.00000000,0.60248971,360.00003052
1.02000000,0.60248971,360.00003052
1.04000000,0.60248971,353.57144165
1.06000000,0.60248971,360.00003052
1.08000000,0.60248971,360.00003052
1.10000000,0.60248971,360.00003052
1.12000000,0.60248971,360.00003052
1.14000000,0.60248971,360.00003052
1.16000000,0.60248971,360.00003052
1.18000000,0.60248971,360.00003052
1.20000000,0.60248971,360.00003052
1.22000000,0.60248971,360.00003052
1.24000000,0.60248971,360.00003052
1.26000000,0.60248971,360.00003052
1.28000000,0.60248971,360.00003052
1.30000000,0.60248971,360.00003052
1.32000000,0.60248971,360.00003052
1.34000000,0.60248971,353.57144165
1.36000000,0.60248971,360.00003052
1.38000000,0.60248971,360.00003052
1.40000000,0.60248971,360.00003052
1.42000000,0.60248971,360.00003052
1.44000000,0.60248971,360.00003052
1.46000000,0.60248971,360.00003052
1.48000000,0.60248971,360.00003052
1.50000000,0.60248971,360.00003052
1.52000000,0.60248971,360.00003052
1.54000000,0.60248971,360.00003052
1.56000000,0.60248971,360.00003052
1.58000000,0.60248971,360.00003052
1.60000000,0.60248971,360.00003052
1.62000000,0.60248971,360.00003052
1.64000000,0.60248971,366.42858887
1.66000000,0.60248971,360.00003052
1.68000000,0.60248971,360.00003052
1.70000000,0.60248971,360.00003052
1.72000000,0.60248971,353.57144165
1.74000000,0.60248971,360.00003052
1.76000000,0.60248971,360.00003052
1.78000000,0.60248971,360.00003052
1.80000000,0.60248971,360.00003052
1.82000000,0.60248971,360.00003052
1.84000000,0.60248971,360.00003052
1.86000000,0.60248971,360.00003052
1.88000000,0.60248971,360.00003052
1.90000000,0.60248971,360.00003052
1.92000000,0.60248971,360.00003052
1.94000000,0.60248971,360.00003052
1.96000000,0.60248971,353.57144165
1.98000000,0.60248971,360.00003052
2.00000000,0.60248971,360.00003052
2.02000000,0.60248971,360.00003052
2.04000000,0.60248971,360.00003052
2.06000000,0.60248971,360.00003052
2.08000000,0.60248971,360.00003052
2.10000000,0.60248971,360.00003052
2.12000000,0.60248971,360.00003052
2.14000000,0.60248971,360.00003052
2.16000000,0.60248971,366.42858887
2.18000000,0.60248971,353.57144165
2.20000000,0.60248971,360.00003052
2.22000000,0.60248971,353.57144165
2.24000000,0.60248971,360.00003052
2.26000000,0.60248971,360.00003052
2.28000000,0.60248971,360.00003052
2.30000000,0.60248971,360.00003052
2.32000000,0.60248971,360.00003052
2.34000000,0.60248971,360.00003052
2.36000000,0.60248971,360.00003052
2.38000000,0.60248971,360.00003052
2.40000000,0.60248971,366.42858887
2.42000000,0.60248971,360.00003052
2.44000000,0.60248971,360.00003052
2.46000000,0.60248971,360.00003052
2.48000000,0.60248971,353.57144165
2.50000000,0.77334410,360.00003052
2.52000000,0.77334410,360.00003052
2.54000000,0.77334410,366.42858887
2.56000000,0.77334410,379.28573608
2.58000000,0.77334410,385.71432495
2.60000000,0.77334410,392.14288330
2.62000000,0.77334410,398.57144165
2.64000000,0.77334410,405.00003052
2.66000000,0.77334410,405.00003052
2.68000000,0.77334410,411.42858887
2.70000000,0.77334410,417.85717773
2.72000000,0.77334410,417.85717773
2.74000000,0.77334410,417.85717773
2.76000000,0.77334410,424.28576660
2.78000000,0.77334410,430.71432495
2.80000000,0.77334410,424.28576660
2.82000000,0.77334410,430.71432495
2.84000000,0.77334410,437.14291382
2.86000000,0.77334410,437.14291382
2.88000000,0.77334410,430.71432495
2.90000000,0.77334410,443.57147217
2.92000000,0.77334410,437.14291382
2.94000000,0.77334410,437.14291382
2.96000000,0.77334410,443.57147217
2.98000000,0.77334410,443.57147217
3.00000000,0.77334410,437.14291382
3.02000000,0.77334410,437.14291382
3.04000000,0.77334410,443.57147217
3.06000000,0.77334410,443.57147217
3.08000000,0.77334410,443.57147217
3.10000000,0.77334410,450.00006104
3.12000000,0.77334410,443.57147217
3.14000000,0.77334410,443.57147217
3.16000000,0.77334410,450.00006104
3.18000000,0.77334410,443.57147217
3.20000000,0.77334410,450.00006104
3.22000000,0.77334410,443.57147217
3.24000000,0.77334410,450.00006104
3.26000000,0.77334410,443.57147217
3.28000000,0.77334410,450.00006104
3.30000000,0.77334410,450.00006104
3.32000000,0.77334410,443.57147217
3.34000000,0.77334410,450.00006104
3.36000000,0.77334410,450.00006104
3.38000000,0.77334410,450.00006104
3.40000000,0.77334410,450.00006104
3.42000000,0.77334410,450.00006104
3.44000000,0.77334410,450.00006104
3.46000000,0.77334410,450.00006104
3.48000000,0.77334410,450.00006104
3.50000000,0.77334410,450.00006104
3.52000000,0.77334410,450.00006104
3.54000000,0.77334410,450.00006104
3.56000000,0.77334410,450.00006104
3.58000000,0.77334410,450.00006104
3.60000000,0.77334410,456.42858887
3.62000000,0.77334410,450.00006104
3.64000000,0.77334410,450.00006104
3.66000000,0.77334410,450.00006104
3.68000000,0.77334410,456.42858887
3.70000000,0.77334410,450.00006104
3.72000000,0.77334410,450.00006104
3.74000000,0.77334410,450.00006104
3.76000000,0.77334410,450.00006104
3.78000000,0.77334410,456.42858887
3.80000000,0.77334410,450.00006104
3.82000000,0.77334410,450.00006104
3.84000000,0.77334410,450.00006104
3.86000000,0.77334410,450.00006104
3.88000000,0.77334410,450.00006104
3.90000000,0.77334410,450.00006104
3.92000000,0.77334410,450.00006104
3.94000000,0.77334410,450.00006104
3.96000000,0.77334410,450.00006104
3.98000000,0.77334410,456.42858887
4.00000000,0.77334410,450.00006104
4.02000000,0.77334410,450.00006104
4.04000000,0.77334410,450.00006104
4.06000000,0.77334410,450.00006104
4.08000000,0.77334410,450.00006104
4.10000000,0.77334410,450.00006104
4.12000000,0.77334410,450.00006104
4.14000000,0.77334410,450.00006104
4.16000000,0.77334410,450.00006104
4.18000000,0.77334410,450.00006104
4.20000000,0.77334410,456.42858887
4.22000000,0.77334410,450.00006104
4.24000000,0.77334410,450.00006104
4.26000000,0.77334410,456.42858887
4.28000000,0.77334410,450.00006104
4.30000000,0.77334410,450.00006104
4.32000000,0.77334410,450.00006104
4.34000000,0.77334410,456.42858887
4.36000000,0.77334410,450.00006104
4.38000000,0.77334410,456.42858887
4.40000000,0.77334410,450.00006104
4.42000000,0.77334410,450.00006104
4.44000000,0.77334410,450.00006104
4.46000000,0.77334410,450.00006104
4.48000000,0.77334410,456.42858887
4.50000000,0.77334410,450.00006104
4.52000000,0.77334410,456.42858887
4.54000000,0.77334410,450.00006104
4.56000000,0.77334410,456.42858887
4.58000000,0.77334410,450.00006104
4.60000000,0.77334410,450.00006104
4.62000000,0.77334410,456.42858887
4.64000000,0.77334410,450.00006104
4.66000000,0.77334410,450.00006104
4.68000000,0.77334410,450.00006104
4.70000000,0.77334410,456.42858887
4.72000000,0.77334410,450.00006104
4.74000000,0.77334410,450.00006104
4.76000000,0.77334410,456.42858887
4.78000000,0.77334410,450.00006104
4.80000000,0.77334410,456.42858887
4.82000000,0.77334410,450.00006104
4.84000000,0.77334410,450.00006104
4.86000000,0.77334410,456.42858887
4.88000000,0.77334410,450.00006104
4.90000000,0.77334410,456.42858887
4.92000000,0.77334410,456.42858887
4.94000000,0.77334410,450.00006104
4.96000000,0.77334410,456.42858887
4.98000000,0.77334410,450.00006104
5.00000000,0.77334410,456.42858887
5.02000000,0.77334410,456.42858887
